Property Code,Display Name,RVP/SVP,Region
AFD,Safe Harbor Ashley Fuel Dock,David Rogers,Coastal Carolinas
AHM,Safe Harbor Angler House,Stephanie McLaughlin,Florida East
AIM,Safe Harbor Anacapa Isle,Josh Hester,West Coast South
ALM,Safe Harbor Aqualand,Michael Duling,South
ALN,Safe Harbor Allen Harbor,Jason Durante,Rhode Island
ANN,Safe Harbor Annapolis,Desiree Bell,Mid-Atlantic West
AYH,Safe Harbor Aqua Yacht,Sean McNamara,Southwest
BBM,Safe Harbor Bahia Bleu,David Rogers,Coastal Carolinas
BC,Safe Harbor Beaver Creek,Layne Wilson,Kentucky + Tennessee
BDT,Safe Harbor Beaufort,David Rogers,Coastal Carolinas
BFM,Safe Harbor Bayfront,Josh Hester,West Coast South
BIM,Safe Harbor Ballena Isle,Garrett McKinney,West Coast North
BJM,Safe Harbor Bruce & Johnsons,Matt Marshall,New York + Coastal Connecticut
BMH,Safe Harbor Belle Maer,Semo Post,Great Lakes + Lake Champlain
BMR,Safe Harbor Brady Mountain,Sean McNamara,Southwest
BS,Safe Harbor Burnside,Layne Wilson,Kentucky + Tennessee
BST,Safe Harbor Burnt Store,Jaret Rogers,Florida West
BV,Safe Harbor Bohemia Vista,Megan Rausch,Mid-Atlantic East
BWYS,Safe Harbor Bluewater Yacht Sales,Randall Ramsey,Yacht Sales
BYC,Safe Harbor Bluewater,Ron Gift,Southeast
CAL,Safe Harbor Calusa Island,Jaret Rogers,Florida West
CAP,Safe Harbor Capri,Sean Gilligan,New York + Connecticut River
CAR,Safe Harbor Carroll Island,Desiree Bell,Mid-Atlantic West
CBM,Safe Harbor Bristol,David Rogers,Coastal Carolinas
CBY,Safe Harbor City Boatyard,Ron Gift,Southeast
CCM,Safe Harbor Charleston City,David Rogers,Coastal Carolinas
CHM,Safe Harbor Cape Harbour,Jaret Rogers,Florida West
CIM,Safe Harbor Cabrillo Isle,Josh Hester,West Coast South
COV,Safe Harbor Cove Haven,Jason Durante,Rhode Island
COW,Safe Harbor Cowesett,Jason Durante,Rhode Island
CPM,Safe Harbor Crystal Point,Jason Durante,Rhode Island
DET,Safe Harbor Detroit River,Semo Post,Great Lakes + Lake Champlain
DRM,Safe Harbor Deep River,Sean Gilligan,New York + Connecticut River
DSY,Safe Harbor Dauntless Shipyard,Sean Gilligan,New York + Connecticut River
EC,Safe Harbor Eagle Cove,Layne Wilson,Kentucky + Tennessee
ECM,Safe Harbor Emerald Coast,Michael Duling,South
EPM,Safe Harbor Emerald Point,Sean McNamara,Southwest
ESX,Safe Harbor Essex Island,Sean Gilligan,New York + Connecticut River
ETM,Safe Harbor Edgartown,Tyler Miller,Massachusetts
EVM,Safe Harbor Emeryville,Garrett McKinney,West Coast North
EYC,Safe Harbor Eastport Yachting Center,Desiree Bell,Mid-Atlantic West
FID,Safe Harbor Fiddler's Cove,Tyler Miller,Massachusetts
FPM,Safe Harbor Ferry Point,Sean Gilligan,New York + Connecticut River
GBM,Safe Harbor Greenwich Bay,Jason Durante,Rhode Island
GBY,Safe Harbor Great Island,Greg Glavin,Maine + New Hampshire
GHM,Safe Harbor Green Harbor,Tyler Miller,Massachusetts
GIM,Safe Harbor Grand Isle,Semo Post,Great Lakes + Lake Champlain
GLE,Safe Harbor Glen Cove,Sean Gilligan,New York + Connecticut River
GLM,Safe Harbor Great Lakes,Semo Post,Great Lakes + Lake Champlain
GM,Safe Harbor Gaines,Semo Post,Great Lakes + Lake Champlain
GOL,Safe Harbor Great Oak Landing,Megan Rausch,Mid-Atlantic East
GRE,Safe Harbor Greenport,Sean Gilligan,New York + Connecticut River
GRH,Safe Harbor Grider Hill,Layne Wilson,Kentucky + Tennessee
HAW,Safe Harbor Hawthorne Cove,Tyler Miller,Massachusetts
HBM,Safe Harbor Hideaway Bay,Michael Duling,South
HC,Safe Harbor Holly Creek,Layne Wilson,Kentucky + Tennessee
