Property Code,Display Name,Origami Name,RVP/SVP,Region
ALN,Safe Harbor Allen Harbor,Safe Harbor Allen Harbor,Jason Durante,Rhode Island
AIM,Safe Harbor Anacapa Isle,Safe Harbor Anacapa Isle,Josh Hester,West Coast South
AHM,Safe Harbor Angler House,Safe Harbor Angler House,Stephanie McLaughlin,Florida East
ANN,Safe Harbor Annapolis,Safe Harbor Annapolis,Desiree Bell,Mid-Atlantic West
AYH,Safe Harbor Aqua Yacht,Safe Harbor Aqua Yacht,Sean McNamara,Southwest
ALM,Safe Harbor Aqualand,Safe Harbor Aqualand,Michael Duling,South
AFD,Safe Harbor Ashley Fuel Dock,Safe Harbor Ashley Fuels,David Rogers,Coastal Carolinas
BBM,Safe Harbor Bahia Bleu,Safe Harbor Bahia Bleu,David Rogers,Coastal Carolinas
BIM,Safe Harbor Ballena Isle,Safe Harbor Ballena Isle,Garrett McKinney,West Coast North
BFM,Safe Harbor Bayfront,Safe Harbor Bayfront Marina,Josh Hester,West Coast South
BDT,Safe Harbor Beaufort,Safe Harbor Beaufort Downtown,David Rogers,Coastal Carolinas
BC,Safe Harbor Beaver Creek,Safe Harbor Beaver Creek,Layne Wilson,Kentucky + Tennessee
BMH,Safe Harbor Belle Maer,Safe Harbor Belle Maer,Semo Post,Great Lakes + Lake Champlain
BYC,Safe Harbor Bluewater,Safe Harbor Bluewater,Ron Gift,Southeast
BWYS,Safe Harbor Bluewater Yacht Sales,Safe Harbor Bluewater Yacht Sales,Randall Ramsey,Yacht Sales
BV,Safe Harbor Bohemia Vista,Safe Harbor Bohemia Vista,Megan Rausch,Mid-Atlantic East
BMR,Safe Harbor Brady Mountain,Safe Harbor Brady Mountain,Sean McNamara,Southwest
CBM,Safe Harbor Bristol,Safe Harbor Bristol,David Rogers,Coastal Carolinas
BJM,Safe Harbor Bruce & Johnsons,Safe Harbor Bruce & Johnsons,Matt Marshall,New York + Coastal Connecticut
BS,Safe Harbor Burnside,Safe Harbor Burnside,Layne Wilson,Kentucky + Tennessee
BST,Safe Harbor Burnt Store,Safe Harbor Burnt Store,Jaret Rogers,Florida West
CIM,Safe Harbor Cabrillo Isle,Safe Harbor Cabrillo Isle,Josh Hester,West Coast South
CAL,Safe Harbor Calusa Island,Safe Harbor Calusa Island,Jaret Rogers,Florida West
CHM,Safe Harbor Cape Harbour,Safe Harbor Cape Harbour,Jaret Rogers,Florida West
CAP,Safe Harbor Capri,Safe Harbor Capri,Sean Gilligan,New York + Connecticut River
CAR,Safe Harbor Carroll Island,Safe Harbor Carroll Island,Desiree Bell,Mid-Atlantic West
CCM,Safe Harbor Charleston City,Safe Harbor Charleston City Marina,David Rogers,Coastal Carolinas
CBY,Safe Harbor City Boatyard,Safe Harbor City Boat Yard,Ron Gift,Southeast
COV,Safe Harbor Cove Haven,Safe Harbor Cove Haven,Jason Durante,Rhode Island
COW,Safe Harbor Cowesett,Safe Harbor Cowesett Marinas,Jason Durante,Rhode Island
CPM,Safe Harbor Crystal Point,Safe Harbor Crystal Point,Jason Durante,Rhode Island
DSY,Safe Harbor Dauntless Shipyard,Safe Harbor Dauntless Shipyard,Sean Gilligan,New York + Connecticut River
DRM,Safe Harbor Deep River,Safe Harbor Deep River,Sean Gilligan,New York + Connecticut River
DET,Safe Harbor Detroit River,Safe Harbor Detroit River,Semo Post,Great Lakes + Lake Champlain
EC,Safe Harbor Eagle Cove,Safe Harbor Eagle Cove,Layne Wilson,Kentucky + Tennessee
EYC,Safe Harbor Eastport Yachting Center,Safe Harbor Eastport Yachting Center,Desiree Bell,Mid-Atlantic West
ETM,Safe Harbor Edgartown,Safe Harbor Edgartown,Tyler Miller,Massachusetts
ECM,Safe Harbor Emerald Coast,Safe Harbor Emerald Coast,Michael Duling,South
EPM,Safe Harbor Emerald Point,Safe Harbor Emerald Point,Sean McNamara,Southwest
EVM,Safe Harbor Emeryville,Safe Harbor Emeryville,Garrett McKinney,West Coast North
ESX,Safe Harbor Essex Island,Safe Harbor Essex Island,Sean Gilligan,New York + Connecticut River
FPM,Safe Harbor Ferry Point,Safe Harbor Ferry Point,Sean Gilligan,New York + Connecticut River
FID,Safe Harbor Fiddler's Cove,Safe Harbor Fiddler's Cove,Tyler Miller,Massachusetts
GM,Safe Harbor Gaines,Safe Harbor Gaines,Semo Post,Great Lakes + Lake Champlain
GLE,Safe Harbor Glen Cove,Safe Harbor Glen Cove,Sean Gilligan,New York + Connecticut River
GIM,Safe Harbor Grand Isle,Safe Harbor Grand Isle,Semo Post,Great Lakes + Lake Champlain
GBY,Safe Harbor Great Island,Safe Harbor Great Island,Greg Glavin,Maine + New Hampshire
GLM,Safe Harbor Great Lakes,Safe Harbor Great Lakes,Semo Post,Great Lakes + Lake Champlain
GOL,Safe Harbor Great Oak Landing,Safe Harbor Great Oak Landing,Megan Rausch,Mid-Atlantic East
GHM,Safe Harbor Green Harbor,Safe Harbor Green Harbor,Tyler Miller,Massachusetts
GRE,Safe Harbor Greenport,Safe Harbor Greenport,Sean Gilligan,New York + Connecticut River
GBM,Safe Harbor Greenwich Bay,Safe Harbor Greenwich Bay,Jason Durante,Rhode Island
GRH,Safe Harbor Grider Hill,Safe Harbor Grider Hill,Layne Wilson,Kentucky + Tennessee
HP,Safe Harbor Hack's Point,Safe Harbor Hack's Point,Megan Rausch,Mid-Atlantic East
HYC,Safe Harbor Harborage Yacht Club,Safe Harbor Harborage Yacht Club,Stephanie McLaughlin,Florida East
HVM,Safe Harbor Harbors View,Safe Harbor Harbors View,Sean McNamara,Southwest
HTM,Safe Harbor Harbortown,Safe Harbor Harbortown,Ron Gift,Southeast
HSM,Safe Harbor Haverstraw,Safe Harbor Haverstraw,Matt Marshall,New York + Coastal Connecticut
HAW,Safe Harbor Hawthorne Cove,Safe Harbor Hawthorne Cove,Tyler Miller,Massachusetts
HBM,Safe Harbor Hideaway Bay,Safe Harbor Hideaway Bay,Michael Duling,South
HC,Safe Harbor Holly Creek,Safe Harbor Holly Creek,Layne Wilson,Kentucky + Tennessee
ISL,Safe Harbor Islamorada,Safe Harbor Islamorada,Stephanie McLaughlin,Florida East
JAM,Safe Harbor Jamestown,Safe Harbor Jamestown,Layne Wilson,Kentucky + Tennessee
JBY,Safe Harbor Jamestown Boatyard,SAFE HARBOR JAMESTOWN BOAT YARD,Jason Durante,Rhode Island
JAR,Safe Harbor Jarrett Bay,Safe Harbor Jarrett Bay,Ron Gift,Southeast
JBM,Safe Harbor Jefferson Beach,Safe Harbor Jefferson Beach,Semo Post,Great Lakes + Lake Champlain
KPM,Safe Harbor King's Point,Safe Harbor King's Point,Michael Duling,South
KPYY,Safe Harbor Kittery Point Yacht Yard,Safe Harbor Kittery Point Yacht Yard Marina,Greg Glavin,Maine + New Hampshire
LFM,Safe Harbor Lakefront,Safe Harbor Lakefront,Semo Post,Great Lakes + Lake Champlain
LMC,Safe Harbor Lauderdale Marine Center,Safe Harbor Lauderdale Marine Center,Orlando Alvarez Diaz,International South
LLM,Safe Harbor Loch Lomond,Safe Harbor Loch Lomond,Garrett McKinney,West Coast North
MRC,Safe Harbor Manasquan River,Safe Harbor Manasquan River,Jason Durante,Rhode Island
MBY,Safe Harbor Marathon,Safe Harbor Marathon,Stephanie McLaughlin,Florida East
MBB,Safe Harbor Marina Bay,Safe Harbor Marina Bay,Tyler Miller,Massachusetts
MBYH,Safe Harbor Marina Bay Yacht Harbor,Safe Harbor Marina Bay Yacht Harbor,Garrett McKinney,West Coast North
MVH,Safe Harbor Marina Village,Safe Harbor Marina Village,Garrett McKinney,West Coast North
MYS,Safe Harbor Mystic,Safe Harbor Mystic,Josh Twidwell,Pilots Point + Mystic
NPM,Safe Harbor Narrows Point,"Safe Harbor Narrows Point, including Harrison Yacht Yard",Megan Rausch,Mid-Atlantic East
NAU,Safe Harbor Nauticus,Safe Harbor Nauticus,Tyler Miller,Massachusetts
NEB,Safe Harbor New England Boatworks,Safe Harbor New England Boatworks,Jason Durante,Rhode Island
NPC,Safe Harbor New Port Cove,Safe Harbor New Port Cove,Bruce McFarlane,International North
NSY,Safe Harbor Newport Shipyard,Safe Harbor Newport Shipyard,Jason Durante,Rhode Island
NPB,Safe Harbor North Palm Beach,Safe Harbor North Palm Beach,Stephanie McLaughlin,Florida East
OPC,Safe Harbor Old Port Cove,Safe Harbor Old Port Cove,Stephanie McLaughlin,Florida East
ONS,Safe Harbor Onset Bay,Safe Harbor Onset Bay,Tyler Miller,Massachusetts
OBX,Safe Harbor Outer Banks,Safe Harbor Outer Banks,Ron Gift,Southeast
OXF,Safe Harbor Oxford,Safe Harbor Oxford,Megan Rausch,Mid-Atlantic East
PYC,Safe Harbor Peninsula Yacht Club,Safe Harbor Peninsula Yacht Club,Michael Duling,South
P121,Safe Harbor Pier 121,Safe Harbor Pier 121,Sean McNamara,Southwest
P77,Safe Harbor Pier 77,Safe Harbor Pier 77,Jaret Rogers,Florida West
PPM,Safe Harbor Pilots Point,Safe Harbor Pilots Point,Josh Twidwell,Pilots Point + Mystic
PLM,Safe Harbor Pineland,Safe Harbor Pineland,Jaret Rogers,Florida West
PLY,Safe Harbor Plymouth,Safe Harbor Plymouth Marina,Tyler Miller,Massachusetts
PDP,Safe Harbor Podickory,Safe Harbor Podickory,Desiree Bell,Mid-Atlantic West
PAM,Safe Harbor Port Annapolis,Safe Harbor Port Annapolis,Desiree Bell,Mid-Atlantic West
PMM,Safe Harbor Port Milford,Safe Harbor Port Milford,Matt Marshall,New York + Coastal Connecticut
PHX,Safe Harbor Port Phoenix,Waterway Estates,Jaret Rogers,Florida West
PTR,Safe Harbor Port Royal,Safe Harbor Port Royal,David Rogers,Coastal Carolinas
PRM,Safe Harbor Port Royal Landing,Safe Harbor Port Royal Landing,David Rogers,Coastal Carolinas
PST,Safe Harbor Post Road,Safe Harbor Post Road,Matt Marshall,New York + Coastal Connecticut
PDR,Safe Harbor Puerto Del Rey,Safe Harbor Puerto Del Rey,Orlando Alvarez Diaz,International South
RPM,Safe Harbor Regatta Pointe,Safe Harbor Regatta Pointe,Jaret Rogers,Florida West
RHM,Safe Harbor Reserve Harbor,Safe Harbor Reserve Harbor,David Rogers,Coastal Carolinas
ROC,Safe Harbor Rockland,Safe Harbor Rockland,Greg Glavin,Maine + New Hampshire
RBY,Safe Harbor Rybovich,Safe Harbor Rybovich - Riviera Beach,Bruce McFarlane,International North
SAK,Safe Harbor Sakonnet,Safe Harbor Sakonnet,Jason Durante,Rhode Island
SFB,Safe Harbor San Francisco Bay,Safe Harbor San Francisco Bay,Garrett McKinney,West Coast North
SJM,Safe Harbor San Juan,Safe Harbor San Juan,Orlando Alvarez Diaz,International South
SHM,Safe Harbor Sandusky,Safe Harbor Sandusky,Semo Post,Great Lakes + Lake Champlain
SAU,Safe Harbor Sausalito,Safe Harbor Sausalito,Garrett McKinney,West Coast North
SYC,Safe Harbor Savannah Yacht Center,Safe Harbor Savannah Yacht Center,Bruce McFarlane,International North
SSY,Safe Harbor Shelburne Shipyard,Safe Harbor Shelburne,Semo Post,Great Lakes + Lake Champlain
SIBY,Safe Harbor Shelter Island,Safe Harbor Shelter Island,Josh Hester,West Coast South
SKM,Safe Harbor Siesta Key,Safe Harbor Siesta Key,Jaret Rogers,Florida West
SSM,Safe Harbor Silver Spring,Safe Harbor Silver Spring Marina,Jason Durante,Rhode Island
SKL,Safe Harbor Skipper's Landing,Safe Harbor Skipper's Landing,Michael Duling,South
SCM,Safe Harbor Skull Creek,Safe Harbor Skull Creek,David Rogers,Coastal Carolinas
SBAY,Safe Harbor South Bay,Safe Harbor South Bay Marina,Josh Hester,West Coast South
SHV,Safe Harbor South Harbour Village,Safe Harbor South Harbour Village,David Rogers,Coastal Carolinas
SPM,Safe Harbor Sportsman,Safe Harbor Sportsman,Michael Duling,South
KIT,Safe Harbor St. Kitts,Safe Harbor St. Kitts,Orlando Alvarez Diaz,International South
SRP,Safe Harbor Stingray Point,Safe Harbor Stingray Point,Desiree Bell,Mid-Atlantic West
STH,Safe Harbor Stirling,Safe Harbor Stirling,Sean Gilligan,New York + Connecticut River
STR,Safe Harbor Stratford,Safe Harbor Stratford,Matt Marshall,New York + Coastal Connecticut
SRD,Safe Harbor Sunroad,Safe Harbor Sunroad,Josh Hester,West Coast South
SBM,Safe Harbor Sunset Bay,Safe Harbor Sunset Bay,Tyler Miller,Massachusetts
TBM,Safe Harbor Toledo Beach,Safe Harbor Toledo Beach,Semo Post,Great Lakes + Lake Champlain
TWR,Safe Harbor Tower Marine,Safe Harbor Tower Marine,Semo Post,Great Lakes + Lake Champlain
TWM,Safe Harbor Trade Winds,Safe Harbor Trade Winds,Michael Duling,South
VIM,Safe Harbor Ventura Isle,Safe Harbor Ventura Isle,Josh Hester,West Coast South
VHM,Safe Harbor Vineyard Haven,Safe Harbor Vineyard Haven,Tyler Miller,Massachusetts
WAL,Safe Harbor Walden,Safe Harbor Walden,Sean McNamara,Southwest
WEN,Safe Harbor Wentworth By The Sea,Safe Harbor Wentworth By The Sea,Greg Glavin,Maine + New Hampshire
RSBC,Safe Harbor West Palm,Safe Harbor West Palm,Bruce McFarlane,International North
WPM,Safe Harbor Westport,Safe Harbor Westport,Michael Duling,South
WIC,Safe Harbor Wickford Cove,Safe Harbor Wickford Cove,Jason Durante,Rhode Island
WBM,Safe Harbor Willsboro Bay,Safe Harbor Willsboro Bay,Semo Post,Great Lakes + Lake Champlain
WDM,Safe Harbor Wisdom Dock,Safe Harbor Wisdom Dock,Layne Wilson,Kentucky + Tennessee
YHM,Safe Harbor Yacht Haven,Safe Harbor Yacht Haven,Matt Marshall,New York + Coastal Connecticut
ZAN,Safe Harbor Zahnisers,Safe Harbor Zahnisers,Megan Rausch,Mid-Atlantic East
